,0,1,2
1609,S.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000",page 541 of document.pdf
1610, uncinatus,"Font: 'Times-Italic' (italic, serifed, proportional), size 9, color #000000",page 541 of document.pdf
1611, Schur.,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 541 of document.pdf
1612,"Sépales les uns droits les autres recourbés, sur les mêmes fruits","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 541 of document.pdf
1613,S. orientalis,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.0045, color #000000",page 541 of document.pdf
1614, Rôssler.,"Font: 'Times-Roman' (serifed, proportional), size 9.009, color #000000",page 541 of document.pdf
1615,Scleranthus,"Font: 'Times-Bold' (serifed, proportional, bold), size 11, color #000000",page 541 of document.pdf
1616, orientalis,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000",page 541 of document.pdf
1617," Rôssler,","Font: 'Times-Roman' (serifed, proportional), size 11.011, color #000000",page 541 of document.pdf
1618," Phyton, Vol. 7, pp. 206-224, 1957","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 541 of document.pdf
1619, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000",page 541 of document.pdf
1620,"CLIV,","Font: 'Times-Roman' (serifed, proportional), size 10.9717, color #000000",page 541 of document.pdf
1621," n. 8). — ®. Plante annuelle, 1,3 à 20 cm. de haut, non glanduleuse. Tiges","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 541 of document.pdf
